Date,Open,Day High,Day Low,Close,Volume,
7/18/2013,1681.05,1681.05,1693.12,1689.37,5.11E+11,
7/19/2013,1686.15,1684.08,1692.09,1692.09,7.55E+11,
7/22/2013,1694.41,1690.67,1697.61,1695.53,4.65E+11,
7/23/2013,1696.63,1691.13,1698.78,1692.39,4.38E+11,
7/24/2013,1696.06,1682.57,1698.38,1685.94,5.14E+11,
7/25/2013,1685.21,1680.07,1690.94,1690.25,5.01E+11,
7/26/2013,1687.31,1676.03,1691.85,1691.65,4.57E+11,
7/29/2013,1690.32,1681.86,1690.92,1685.33,4.11E+11,
7/30/2013,1687.92,1682.42,1693.19,1685.96,4.92E+11,
7/31/2013,1687.76,1684.94,1698.43,1685.73,6.49E+11,
8/1/2013,1689.42,1689.42,1707.85,1706.87,5.20E+11,
8/2/2013,1706.1,1700.68,1709.67,1709.67,4.94E+11,
8/5/2013,1708.01,1703.55,1709.24,1707.14,3.63E+11,
8/6/2013,1705.79,1693.29,1705.79,1697.37,4.46E+11,
8/7/2013,1695.3,1684.91,1695.3,1690.91,4.39E+11,
8/8/2013,1693.35,1688.38,1700.18,1697.48,4.47E+11,
8/9/2013,1696.1,1686.02,1699.42,1691.42,4.03E+11,
8/12/2013,1688.37,1683.35,1691.49,1689.47,3.70E+11,
8/13/2013,1690.65,1682.62,1696.81,1694.16,4.02E+11,
8/14/2013,1693.88,1684.83,1695.52,1685.39,4.10E+11,
8/15/2013,1679.61,1658.59,1679.61,1661.32,4.99E+11,
8/16/2013,1661.22,1652.61,1663.6,1655.83,6.39E+11,
8/19/2013,1655.25,1645.84,1659.18,1646.06,4.34E+11,
8/20/2013,1646.81,1646.08,1658.92,1652.35,4.28E+11,
8/21/2013,1650.66,1639.43,1656.99,1642.8,4.73E+11,
8/22/2013,1645.03,1645.03,1659.55,1656.96,6.23E+11,
8/23/2013,1659.92,1654.81,1664.85,1663.5,4.44E+11,
8/26/2013,1664.29,1656.02,1669.51,1656.78,4.09E+11,
8/27/2013,1652.54,1629.05,1652.54,1630.48,4.95E+11,
8/28/2013,1630.25,1627.47,1641.18,1634.96,4.30E+11,
8/29/2013,1633.5,1630.88,1646.41,1638.17,3.78E+11,
8/30/2013,1638.89,1628.05,1640.08,1632.97,5.32E+11,
9/3/2013,1635.95,1633.41,1651.35,1639.77,5.14E+11,
9/4/2013,1640.72,1637.41,1655.72,1653.08,5.24E+11,
